Metric results for commons-math at 6/23/18 5:51 PM

Abstractness,21.5%
Afferent Couplings,0
Average Block Depth,1.05
    minimum,0
    maximum,5
Average Cyclomatic Complexity,1.77
    minimum,1
    maximum,18
Average Depth of Inheritance Hierarchy,3.32
    minimum,1
    maximum,7
Average Lines Of Code Per Method,8.10
    minimum,1
    maximum,94
Average Number of Constructors Per Type,0.84
    minimum,0
    maximum,6
Average Number of Fields Per Type,2.04
    minimum,0
    maximum,39
Average Number of Methods Per Type,8.27
    minimum,0
    maximum,70
Average Number of Parameters,0.62
    minimum,0
    maximum,6
Average Number of Subtypes,0.64
    minimum,0
    maximum,16
Comments Ratio,17.8%
Difficulty,315.52
Distance,0.22
Efferent Couplings,226
Effort,"318,366,034.34"
Instability,1.00
Lines of Code,"21,709"
Number of Characters,"1,692,727"
Number of Comments,"3,872"
    end-of-line,1231
    multi-line,322
    javadoc,2319
Number of Constructors,224
    public,203
    protected,10
    package,2
    private,9
Number of Fields,652
    instance,525
        public,0
        protected,224
        package,12
        private,289
    static,127
        public,15
        protected,2
        package,12
        private,98
    public,15
        instance,0
        static,15
    protected,226
        instance,224
        static,2
    package,24
        instance,12
        static,12
    private,387
        instance,289
        static,98
Number of Lines,"47,167"
Number of Methods,"2,194"
    instance,1969
        public,1550
        protected,165
        package,183
        private,71
    static,225
        public,211
        protected,8
        package,0
        private,6
    public,1761
        instance,1550
        static,211
    protected,173
        instance,165
        static,8
    package,183
        instance,183
        static,0
    private,77
        instance,71
        static,6
Number of Operands,"58,486"
Number of Operators,"25,535"
Number of Packages,42
    compilation units,248
        minimum,0
        average,5
        maximum,33
    class files,0
        minimum,0
        average,0
        maximum,0
Number of Semicolons,"12,643"
Number of Types,265
    interface,34
        public,34
        protected,0
        package,0
        private,0
    class,231
        public,216
        protected,0
        package,9
        private,6
    public,250
        interface,34
        class,216
    protected,0
        interface,0
        class,0
    package,9
        interface,0
        class,9
    private,6
        interface,0
        class,6
Number of Unique Operands,"4,078"
Number of Unique Operators,44
Program Length,"84,021"
Program Vocabulary,"4,122"
Program Volume,"1,009,019.01"
Weighted Methods,"4,300"
