Metric results for jfreechart at 6/24/18 7:59 AM

Abstractness,12.3%
Afferent Couplings,0
Average Block Depth,1.18
    minimum,0
    maximum,10
Average Cyclomatic Complexity,2.04
    minimum,1
    maximum,54
Average Depth of Inheritance Hierarchy,3.28
    minimum,1
    maximum,8
Average Lines Of Code Per Method,10.55
    minimum,1
    maximum,312
Average Number of Constructors Per Type,1.18
    minimum,0
    maximum,8
Average Number of Fields Per Type,1.85
    minimum,0
    maximum,48
Average Number of Methods Per Type,9.17
    minimum,0
    maximum,184
Average Number of Parameters,0.98
    minimum,0
    maximum,12
Average Number of Subtypes,0.66
    minimum,0
    maximum,100
Comments Ratio,16%
Difficulty,547.64
Distance,0.12
Efferent Couplings,873
Effort,"3,169,185,908.26"
Instability,1.00
Lines of Code,"119,158"
Number of Characters,"9,144,029"
Number of Comments,"19,123"
    end-of-line,4862
    multi-line,996
    javadoc,13265
Number of Constructors,"1,117"
    public,1037
    protected,34
    package,1
    private,45
Number of Fields,"2,653"
    instance,1720
        public,14
        protected,35
        package,12
        private,1659
    static,933
        public,522
        protected,40
        package,21
        private,350
    public,536
        instance,14
        static,522
    protected,75
        instance,35
        static,40
    package,33
        instance,12
        static,21
    private,2009
        instance,1659
        static,350
Number of Lines,"265,586"
Number of Methods,"8,672"
    instance,7920
        public,7160
        protected,391
        package,11
        private,358
    static,752
        public,700
        protected,4
        package,0
        private,48
    public,7860
        instance,7160
        static,700
    protected,395
        instance,391
        static,4
    package,11
        instance,11
        static,0
    private,406
        instance,358
        static,48
Number of Operands,"294,329"
Number of Operators,"134,280"
Number of Packages,92
    compilation units,890
        minimum,0
        average,9
        maximum,48
    class files,0
        minimum,0
        average,0
        maximum,0
Number of Semicolons,"66,508"
Number of Types,945
    interface,88
        public,88
        protected,0
        package,0
        private,0
    class,857
        public,801
        protected,7
        package,46
        private,3
    public,889
        interface,88
        class,801
    protected,7
        interface,0
        class,7
    package,46
        interface,0
        class,46
    private,3
        interface,0
        class,3
Number of Unique Operands,"11,555"
Number of Unique Operators,43
Program Length,"428,609"
Program Vocabulary,"11,598"
Program Volume,"5,786,902.31"
Weighted Methods,"20,039"
