ProjectID, BugId, FaultNodeName
Chart,1, org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1791
Chart,2, org.jfree.data.general.DatasetUtilities#742
Chart,3, Unknown
Chart,4, Unknown
Chart,5, org.jfree.data.xy.XYSeries#541
Chart,6, org.jfree.chart.util.ShapeList#105
Chart,7, org.jfree.data.time.TimePeriodValues#259
Chart,8, Unknown
Chart,9, Unknown
Chart,10, Unknown
Chart,11, Unknown
Chart,12, org.jfree.chart.plot.MultiplePiePlot#144
Chart,13, Unknown
Chart,14, Unknown
Chart,15, org.jfree.chart.plot.PiePlot#2049
Chart,16, Unknown
Chart,17, Unknown
Chart,18, Unknown
Chart,19, Unknown
Chart,20, org.jfree.chart.plot.ValueMarker#95
Chart,21, org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#147
Chart,22, org.jfree.data.KeyedObjects2D#215
Chart,23, Unknown
Chart,24, Unknown
Chart,25, org.jfree.chart.renderer.category.StatisticalBarRenderer#240
Chart,26, org.jfree.chart.axis.Axis#1097
Lang,1, org.apache.commons.lang3.math.NumberUtils#451
Lang,2, Unknown
Lang,3, org.apache.commons.lang3.math.NumberUtils#451
Lang,4, Unknown
Lang,5, Unknown
Lang,6, org.apache.commons.lang3.text.translate.CharSequenceTranslator#76
Lang,7, org.apache.commons.lang3.math.NumberUtils#714
Lang,8, org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule#1134
Lang,9, org.apache.commons.lang3.time.FastDateParser#116
Lang,10, Unknown
Lang,11, Unknown
Lang,12, Unknown
Lang,13, Unknown
Lang,14, Unknown
Lang,15, org.apache.commons.lang3.reflect.TypeUtils#181
Lang,16, Unknown
Lang,17, org.apache.commons.lang3.text.translate.CharSequenceTranslator#76
Lang,18, org.apache.commons.lang3.time.FastDateFormat#464
Lang,19, Unknown
Lang,20, org.apache.commons.lang3.StringUtils#3290
Lang,21, Unknown
Lang,22, Unknown
Lang,23, Unknown
Lang,24, Unknown
Lang,25, Unknown
Lang,26, org.apache.commons.lang3.time.FastDateFormat#820
Lang,27, org.apache.commons.lang3.math.NumberUtils#453
Lang,28, Unknown
Lang,29, Unknown
Lang,30, org.apache.commons.lang3.StringUtils#1372
Lang,31, Unknown
Lang,32, org.apache.commons.lang3.builder.HashCodeBuilder#522
Lang,33, Unknown
Lang,34, org.apache.commons.lang3.builder.ToStringStyle#163
Lang,35, Unknown
Lang,36, org.apache.commons.lang3.math.NumberUtils#1313
Lang,37, Unknown
Lang,38, org.apache.commons.lang3.time.FastDateFormat#871
Lang,39, Unknown
Lang,40, Unknown
Lang,41, Unknown
Lang,42, org.apache.commons.lang.Entities#826
Lang,43, Unknown
Lang,44, Unknown
Lang,45, Unknown
Lang,46, org.apache.commons.lang.StringEscapeUtils#155
Lang,47, org.apache.commons.lang.text.StrBuilder#1183
Lang,48, Unknown
Lang,49, Unknown
Lang,50, org.apache.commons.lang.time.FastDateFormat#461
Lang,51, Unknown
Lang,52, Unknown
Lang,53, Unknown
Lang,54, Unknown
Lang,55, Unknown
Lang,56, Unknown
Lang,57, Unknown
Lang,58, Unknown
Lang,59, Unknown
Lang,60, Unknown
Lang,61, Unknown
Lang,62, Unknown
Lang,63, org.apache.commons.lang.time.DurationFormatUtils#265
Lang,64, Unknown
Lang,65, Unknown
Math,1, org.apache.commons.math3.fraction.BigFraction#271
Math,2, org.apache.commons.math3.distribution.HypergeometricDistribution#268
Math,4, org.apache.commons.math3.geometry.euclidean.twod.SubLine#113
Math,5, org.apache.commons.math3.complex.Complex#300
Math,7, org.apache.commons.math3.ode.AbstractIntegrator#300
Math,8, org.apache.commons.math3.distribution.DiscreteDistribution#182
Math,9, org.apache.commons.math3.geometry.euclidean.threed.Line#87
Math,10, org.apache.commons.math3.analysis.differentiation.DSCompiler#1387
Math,11, org.apache.commons.math3.distribution.MultivariateNormalDistribution#178
Math,12, Unknown
Math,13, org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizer#562
Math,14, org.apache.commons.math3.optim.nonlinear.vector.Weight#41
Math,17, org.apache.commons.math3.dfp.Dfp#1603
Math,20, org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction#921
Math,21, org.apache.commons.math3.linear.RectangularCholeskyDecomposition#63
Math,22, Unknown
Math,23, org.apache.commons.math3.optimization.univariate.BrentOptimizer#116
Math,24, org.apache.commons.math3.optimization.univariate.BrentOptimizer#110
Math,25, org.apache.commons.math3.optimization.fitting.HarmonicFitter$ParameterGuesser#259
Math,26, Unknown
Math,27, org.apache.commons.math3.fraction.Fraction#597
Math,28, org.apache.commons.math3.optimization.linear.SimplexSolver#92
Math,30, org.apache.commons.math3.stat.inference.MannWhitneyUTest#173
Math,31, org.apache.commons.math3.util.ContinuedFraction#124
Math,32, org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet#132
Math,33, org.apache.commons.math3.optimization.linear.SimplexTableau#328
Math,34, Unknown
Math,35, Unknown
Math,36, Unknown
Math,37, org.apache.commons.math.complex.Complex#1018
Math,38, org.apache.commons.math.optimization.direct.BOBYQAOptimizer#1584
Math,39, org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#194
Math,40, org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver#146
Math,41, Unknown
Math,42, org.apache.commons.math.optimization.linear.SimplexTableau#397
Math,43, org.apache.commons.math.stat.descriptive.SummaryStatistics#150
Math,44, org.apache.commons.math.ode.AbstractIntegrator#278
Math,45, org.apache.commons.math.linear.OpenMapRealMatrix#49
Math,46, org.apache.commons.math.complex.Complex#253
Math,47, org.apache.commons.math.complex.Complex#251
Math,48, org.apache.commons.math.analysis.solvers.BaseSecantSolver#131
Math,49, org.apache.commons.math.linear.OpenMapRealVector#368
Math,50, org.apache.commons.math.analysis.solvers.BaseSecantSolver#130
Math,51, org.apache.commons.math.analysis.solvers.BaseSecantSolver#130
Math,52, org.apache.commons.math.geometry.euclidean.threed.Rotation#313
Math,53, org.apache.commons.math.complex.Complex#152
Math,54, org.apache.commons.math.dfp.Dfp#2305
Math,55, org.apache.commons.math.geometry.Vector3D#473
Math,56, Unknown
Math,57, org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer#164
Math,58, org.apache.commons.math.optimization.fitting.GaussianFitter#120
Math,60, org.apache.commons.math.distribution.NormalDistributionImpl#125
Math,61, org.apache.commons.math.distribution.PoissonDistributionImpl#92
Math,62, org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizer#146
Math,64, org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#245
Math,65, Unknown
Math,66, org.apache.commons.math.optimization.univariate.BrentOptimizer#43
Math,67, org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizer#97
Math,68, org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#160
Math,69, org.apache.commons.math.stat.correlation.PearsonsCorrelation#161
Math,70, org.apache.commons.math.analysis.solvers.BisectionSolver#72
Math,71, org.apache.commons.math.ode.nonstiff.RungeKuttaIntegrator#100
Math,72, org.apache.commons.math.analysis.solvers.BrentSolver#102
Math,73, org.apache.commons.math.analysis.solvers.BrentSolver#102
Math,74, org.apache.commons.math.ode.nonstiff.EmbeddedRungeKuttaIntegrator#197
Math,75, org.apache.commons.math.stat.Frequency#303
Math,76, org.apache.commons.math.linear.SingularValueDecompositionImpl#156
Math,77, org.apache.commons.math.linear.OpenMapRealVector#499
Math,78, org.apache.commons.math.ode.events.EventState#172
Math,80, Unknown
Math,81, Unknown
Math,82, org.apache.commons.math.optimization.linear.SimplexSolver#77
Math,83, org.apache.commons.math.optimization.linear.SimplexTableau#340
Math,84, org.apache.commons.math.optimization.direct.MultiDirectional#66
Math,85, org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils#170
Math,86, org.apache.commons.math.linear.CholeskyDecompositionImpl#97
Math,87, org.apache.commons.math.optimization.linear.SimplexTableau#273
Math,88, org.apache.commons.math.optimization.linear.SimplexTableau#325
Math,89, Unknown
Math,90, Unknown
Math,91, org.apache.commons.math.fraction.Fraction#259
Math,92, org.apache.commons.math.util.MathUtils#170
Math,93, org.apache.commons.math.util.MathUtils#345
Math,94, Unknown
Math,95, org.apache.commons.math.distribution.FDistributionImpl#145
Math,96, org.apache.commons.math.complex.Complex#248
Math,97, org.apache.commons.math.analysis.BrentSolver#128
Math,98, org.apache.commons.math.linear.BigMatrixImpl#986
Math,99, org.apache.commons.math.util.MathUtils#710
Math,100, org.apache.commons.math.estimation.AbstractEstimator#162
Math,101, org.apache.commons.math.complex.ComplexFormat#321
Math,102, org.apache.commons.math.stat.inference.ChiSquareTestImpl#66
Math,103, org.apache.commons.math.distribution.NormalDistributionImpl#109
Math,105, Unknown
Math,106, org.apache.commons.math.fraction.ProperFractionFormat#132
Time,1, org.joda.time.field.UnsupportedDurationField#227
Time,2, org.joda.time.Partial#429
Time,3, org.joda.time.MutableDateTime#660
Time,4, org.joda.time.Partial#427
Time,5, org.joda.time.Period#1617
Time,6, org.joda.time.chrono.GJChronology$ImpreciseCutoverField#974
Time,7, org.joda.time.format.DateTimeFormatter#701
Time,8, org.joda.time.DateTimeZone#273
Time,9, org.joda.time.DateTimeZone#255
Time,10, Unknown
Time,11, Unknown
Time,12, org.joda.time.LocalDate#240
Time,13, org.joda.time.format.PeriodFormatterBuilder$FieldFormatter#1089
Time,14, Unknown
Time,15, Unknown
Time,16, Unknown
Time,17, Unknown
Time,18, Unknown
Time,19, org.joda.time.DateTimeZone#882
Time,20, org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId#2541
Time,21, org.joda.time.tz.DefaultNameProvider#53
Time,22, org.joda.time.base.BasePeriod#222
Time,23, Unknown
Time,24, org.joda.time.format.DateTimeParserBucket#332
Time,25, org.joda.time.DateTimeZone#881
Time,26, Unknown
Time,27, org.joda.time.format.PeriodFormatterBuilder#795
Closure,1, com.google.javascript.jscomp.RemoveUnusedVars#380
Closure,2, com.google.javascript.jscomp.TypeCheck#1570
Closure,3, com.google.javascript.jscomp.FlowSensitiveInlineVariables$Candidate#282
Closure,4, com.google.javascript.rhino.jstype.NamedType#189
Closure,5, com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#156
Closure,6, com.google.javascript.jscomp.TypeValidator#404
Closure,7, Unknown
Closure,8, com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses#182
Closure,9, Unknown
Closure,10, com.google.javascript.jscomp.NodeUtil#1416
Closure,11, com.google.javascript.jscomp.TypeCheck#1308
Closure,12, Unknown
Closure,13, Unknown
Closure,14, com.google.javascript.jscomp.ControlFlowAnalysis#712
Closure,15, Unknown
Closure,16, com.google.javascript.jscomp.ScopedAliases$AliasedTypeNode#180
Closure,17, com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#1269
Closure,18, com.google.javascript.jscomp.Compiler#1241
Closure,19, com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#158
Closure,20, com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#209
Closure,21, com.google.javascript.jscomp.CheckSideEffects#89
Closure,22, com.google.javascript.jscomp.CheckSideEffects#89
Closure,23, Unknown
Closure,24, com.google.javascript.jscomp.ScopedAliases$Traversal#273
Closure,25, com.google.javascript.jscomp.TypeInference#1037
Closure,26, com.google.javascript.jscomp.ProcessCommonJSModules$ProcessCommonJsModulesCallback#208
Closure,27, com.google.javascript.rhino.IR#224
Closure,28, Unknown
Closure,29, com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#156
Closure,30, com.google.javascript.jscomp.MustBeReachingVariableDef#426
Closure,31, com.google.javascript.jscomp.Compiler#1237
Closure,32, com.google.javascript.jscomp.parsing.JsDocInfoParser#1332
Closure,33, com.google.javascript.rhino.jstype.PrototypeObjectType#567
Closure,34, com.google.javascript.jscomp.CodeGenerator#86
Closure,35, com.google.javascript.jscomp.TypeInference#1115
Closure,36, Unknown
Closure,37, Unknown
Closure,38, com.google.javascript.jscomp.CodeConsumer#243
Closure,39, com.google.javascript.rhino.jstype.PrototypeObjectType#354
Closure,40, com.google.javascript.jscomp.NameAnalyzer$FindDeclarationsAndSetters#599
Closure,41, com.google.javascript.jscomp.FunctionTypeBuilder#244
Closure,42, Unknown
Closure,43, Unknown
Closure,44, com.google.javascript.jscomp.CodeConsumer#182
Closure,45, com.google.javascript.jscomp.RemoveUnusedVars$Assign#898
Closure,46, Unknown
Closure,47, com.google.debugging.sourcemap.SourceMapConsumerV3#483
Closure,48, com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#1418
Closure,49, com.google.javascript.jscomp.MakeDeclaredNamesUnique#116
Closure,50, com.google.javascript.jscomp.PeepholeReplaceKnownMethods#368
Closure,51, com.google.javascript.jscomp.CodeConsumer#236
Closure,52, Unknown
Closure,53, com.google.javascript.jscomp.InlineObjectLiterals$InliningBehavior#306
Closure,54, com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder#1375
Closure,55, com.google.javascript.jscomp.FunctionRewriter#117
Closure,56, com.google.javascript.jscomp.SourceFile#206
Closure,57, com.google.javascript.jscomp.ClosureCodingConvention#190
Closure,58, com.google.javascript.jscomp.LiveVariablesAnalysis#181
