Metric results for commons-lang at 6/22/18 9:00 PM

Abstractness,7.5%
Afferent Couplings,0
Average Block Depth,1.31
    minimum,0
    maximum,7
Average Cyclomatic Complexity,2.00
    minimum,1
    maximum,50
Average Depth of Inheritance Hierarchy,2.79
    minimum,1
    maximum,5
Average Lines Of Code Per Method,10.35
    minimum,1
    maximum,222
Average Number of Constructors Per Type,0.86
    minimum,0
    maximum,13
Average Number of Fields Per Type,1.12
    minimum,0
    maximum,30
Average Number of Methods Per Type,11.72
    minimum,0
    maximum,201
Average Number of Parameters,0.80
    minimum,0
    maximum,9
Average Number of Subtypes,0.34
    minimum,0
    maximum,9
Comments Ratio,14.4%
Difficulty,411.20
Distance,0.08
Efferent Couplings,283
Effort,"1,157,113,906.07"
Instability,1.00
Lines of Code,"46,053"
Number of Characters,"3,555,554"
Number of Comments,"6,635"
    end-of-line,3381
    multi-line,218
    javadoc,3036
Number of Constructors,288
    public,230
    protected,10
    package,39
    private,9
Number of Fields,822
    instance,367
        public,11
        protected,4
        package,86
        private,266
    static,455
        public,196
        protected,4
        package,41
        private,214
    public,207
        instance,11
        static,196
    protected,8
        instance,4
        static,4
    package,127
        instance,86
        static,41
    private,480
        instance,266
        static,214
Number of Lines,"89,877"
Number of Methods,"3,903"
    instance,2924
        public,2652
        protected,156
        package,19
        private,97
    static,979
        public,883
        protected,0
        package,32
        private,64
    public,3535
        instance,2652
        static,883
    protected,156
        instance,156
        static,0
    package,51
        instance,19
        static,32
    private,161
        instance,97
        static,64
Number of Operands,"149,157"
Number of Operators,"65,235"
Number of Packages,29
    compilation units,191
        minimum,0
        average,6
        maximum,29
    class files,0
        minimum,0
        average,0
        maximum,0
Number of Semicolons,"27,527"
Number of Types,333
    interface,15
        public,7
        protected,0
        package,0
        private,8
    class,318
        public,188
        protected,0
        package,84
        private,46
    public,195
        interface,7
        class,188
    protected,0
        interface,0
        class,0
    package,84
        interface,0
        class,84
    private,54
        interface,8
        class,46
Number of Unique Operands,"8,887"
Number of Unique Operators,49
Program Length,"214,392"
Program Vocabulary,"8,936"
Program Volume,"2,813,983.64"
Weighted Methods,"8,446"
