Metric results for commons-lang at 6/22/18 9:11 PM

Abstractness,6.6%
Afferent Couplings,0
Average Block Depth,1.31
    minimum,0
    maximum,7
Average Cyclomatic Complexity,2.01
    minimum,1
    maximum,50
Average Depth of Inheritance Hierarchy,2.82
    minimum,1
    maximum,5
Average Lines Of Code Per Method,10.36
    minimum,1
    maximum,219
Average Number of Constructors Per Type,0.88
    minimum,0
    maximum,13
Average Number of Fields Per Type,1.13
    minimum,0
    maximum,30
Average Number of Methods Per Type,11.73
    minimum,0
    maximum,174
Average Number of Parameters,0.82
    minimum,0
    maximum,9
Average Number of Subtypes,0.32
    minimum,0
    maximum,9
Comments Ratio,15.1%
Difficulty,405.04
Distance,0.07
Efferent Couplings,268
Effort,"1,070,846,073.99"
Instability,1.00
Lines of Code,"43,722"
Number of Characters,"3,366,470"
Number of Comments,"6,609"
    end-of-line,3570
    multi-line,204
    javadoc,2835
Number of Constructors,278
    public,225
    protected,9
    package,37
    private,7
Number of Fields,790
    instance,351
        public,9
        protected,4
        package,86
        private,252
    static,439
        public,196
        protected,4
        package,41
        private,198
    public,205
        instance,9
        static,196
    protected,8
        instance,4
        static,4
    package,127
        instance,86
        static,41
    private,450
        instance,252
        static,198
Number of Lines,"85,190"
Number of Methods,"3,695"
    instance,2774
        public,2503
        protected,154
        package,18
        private,99
    static,921
        public,838
        protected,0
        package,22
        private,61
    public,3341
        instance,2503
        static,838
    protected,154
        instance,154
        static,0
    package,40
        instance,18
        static,22
    private,160
        instance,99
        static,61
Number of Operands,"140,658"
Number of Operators,"61,730"
Number of Packages,29
    compilation units,178
        minimum,0
        average,6
        maximum,27
    class files,0
        minimum,0
        average,0
        maximum,0
Number of Semicolons,"26,092"
Number of Types,315
    interface,13
        public,5
        protected,0
        package,0
        private,8
    class,302
        public,176
        protected,0
        package,82
        private,44
    public,181
        interface,5
        class,176
    protected,0
        interface,0
        class,0
    package,82
        interface,0
        class,82
    private,52
        interface,8
        class,44
Number of Unique Operands,"8,508"
Number of Unique Operators,49
Program Length,"202,388"
Program Vocabulary,"8,557"
Program Volume,"2,643,772.05"
Weighted Methods,"8,051"
